country,country_code,year,account_pct,bank_account_pct,mobile_account_pct,digital_account_pct,country_name,poverty_headcount,gini
Panama,PAN,2024,0.738638027,0.701082205,0.517858591,0.630933686,Panama,0.031258316921,0.497335432231
Paraguay,PRY,2024,0.575761747,0.41957784,0.34776391,0.436489875,Paraguay,0.021053328962,0.442453362094
Paraguay,PRY,2024,0.658082988,0.508032367,0.376644927,0.525549021,Paraguay,0.021053328962,0.442453362094
Peru,PER,2024,0.556652117,0.482538655,0.344909702,0.396695096,Peru,0.051405638887,0.401258629673
Peru,PER,2024,0.623240615,0.511233492,0.491186206,0.547925769,Peru,0.051405638887,0.401258629673
Tajikistan,TJK,2024,0.554681524,0.538921814,0.143650619,0.271070547,Tajikistan,0.0613354089,0.361080032292
Tajikistan,TJK,2024,0.522499238,0.490826565,0.145860435,0.297859483,Tajikistan,0.0613354089,0.361080032292
Argentina,ARG,2024,0.71270525,0.628094819,0.380175259,0.557659204,Argentina,0.009636804608,0.423533182338
Argentina,ARG,2024,0.878591044,0.787895433,0.676699978,0.803814469,Argentina,0.009636804608,0.423533182338
Dominican Republic,DOM,2024,0.473542294,0.445545868,0.092639763,0.219836866,Dominican Republic,0.007753300784,0.389712571405
Dominican Republic,DOM,2024,0.752296568,0.745317591,0.2326566,0.536440227,Dominican Republic,0.007753300784,0.389712571405
Ecuador,ECU,2024,0.493353698,0.489710506,0.034154493,0.254915826,Ecuador,0.073132636601,0.451954747261
Ecuador,ECU,2024,0.702990746,0.696677853,0.12632135,0.433231297,Ecuador,0.073132636601,0.451954747261
Honduras,HND,2024,0.299703531,0.268715805,0.042486041,0.128386733,Honduras,0.157173706393,0.45676117381
Honduras,HND,2024,0.51604608,0.483824332,0.157670816,0.302642905,Honduras,0.157173706393,0.45676117381
Indonesia,IDN,2024,0.472826535,0.436237505,0.167338244,0.282330797,Indonesia,0.054381132299,0.348943937896
Indonesia,IDN,2024,0.621964745,0.580807857,0.254380277,0.432972752,Indonesia,0.054381132299,0.348943937896
Panama,PAN,2024,0.506679346,0.465535618,0.266632893,0.352478606,Panama,0.031258316921,0.497335432231
Panama,PAN,2024,0.730438845,0.704078917,0.456443138,0.581827917,Panama,0.031258316921,0.497335432231
Paraguay,PRY,2024,0.506277806,0.340010951,0.251750351,0.321625964,Paraguay,0.021053328962,0.442453362094
Paraguay,PRY,2024,0.656531594,0.508623845,0.409077482,0.542142705,Paraguay,0.021053328962,0.442453362094
Peru,PER,2024,0.413152585,0.30068433,0.250233949,0.280369509,Peru,0.051405638887,0.401258629673
Peru,PER,2024,0.670795098,0.58354596,0.500421257,0.565436931,Peru,0.051405638887,0.401258629673
Tajikistan,TJK,2024,0.417833225,0.410463354,0.056864411,0.17498928,Tajikistan,0.0613354089,0.361080032292
Tajikistan,TJK,2024,0.685783103,0.650892135,0.240821837,0.393747431,Tajikistan,0.0613354089,0.361080032292
Argentina,ARG,2024,0.882990053,0.795422873,0.66335448,0.80779823,Argentina,0.009636804608,0.423533182338
Argentina,ARG,2024,0.629313926,0.537310159,0.285592601,0.436463086,Argentina,0.009636804608,0.423533182338
Dominican Republic,DOM,2024,0.734886801,0.72661645,0.229944089,0.524354432,Dominican Republic,0.007753300784,0.389712571405
Dominican Republic,DOM,2024,0.496430093,0.468046826,0.085348152,0.222699539,Dominican Republic,0.007753300784,0.389712571405
Ecuador,ECU,2024,0.72077356,0.714727572,0.142627782,0.507116951,Ecuador,0.073132636601,0.451954747261
Ecuador,ECU,2024,0.500900332,0.496173955,0.02032068,0.147699769,Ecuador,0.073132636601,0.451954747261
Honduras,HND,2024,0.614884162,0.568202379,0.175431236,0.416838243,Honduras,0.157173706393,0.45676117381
Honduras,HND,2024,0.325856754,0.307570617,0.069991021,0.128830709,Honduras,0.157173706393,0.45676117381
Indonesia,IDN,2024,0.683276707,0.626772918,0.314061486,0.491836497,Indonesia,0.054381132299,0.348943937896
Indonesia,IDN,2024,0.376382056,0.363802653,0.073412114,0.18934763,Indonesia,0.054381132299,0.348943937896
Panama,PAN,2024,0.703648329,0.666113425,0.470904887,0.582692483,Panama,0.031258316921,0.497335432231
Panama,PAN,2024,0.418878748,0.404752445,0.062888522,0.166006727,Panama,0.031258316921,0.497335432231
Paraguay,PRY,2024,0.698155485,0.528437004,0.459122826,0.612070945,Paraguay,0.021053328962,0.442453362094
Paraguay,PRY,2024,0.481488589,0.349703458,0.212396209,0.264677635,Paraguay,0.021053328962,0.442453362094
Peru,PER,2024,0.665090548,0.565819753,0.495334064,0.557187936,Peru,0.051405638887,0.401258629673
Peru,PER,2024,0.296369606,0.227425056,0.133413284,0.15842867,Peru,0.051405638887,0.401258629673
Tajikistan,TJK,2024,0.585541161,0.565786086,0.174170449,0.310553372,Tajikistan,0.0613354089,0.361080032292
Tajikistan,TJK,2024,0.435802726,0.4133819,0.063497297,0.193980096,Tajikistan,0.0613354089,0.361080032292
