country,country_code,year,account_pct,bank_account_pct,mobile_account_pct,digital_account_pct
Cote d'Ivoire,CIV,2024,0.694780481,0.220853333,0.648694128,0.659109854
Dominican Republic,DOM,2024,0.655086458,0.632327617,0.173169561,0.373572022
Dominican Republic,DOM,2024,0.643933991,0.633232264,0.183836515,0.440973892
Ecuador,ECU,2024,0.62558797,0.624963982,0.066387054,0.323428915
Ecuador,ECU,2024,0.662579741,0.65254621,0.131881635,0.438448263
"Egypt, Arab Rep.",EGY,2024,0.392926547,0.327539325,0.1248283025078589,0.237255676
"Egypt, Arab Rep.",EGY,2024,0.452961043,0.367129172,0.173920401,0.308153706
Eswatini,SWZ,2024,0.651160267,0.431356222,0.504069176,0.565902098
Gabon,GAB,2024,0.64920314,0.237947384,0.566486373,0.582415145
Gabon,GAB,2024,0.711712748,0.257821856,0.662196445,0.675865748
"Gambia, The",GMB,2024,0.314046159,0.272405798,0.10953626,0.134387945
"Gambia, The",GMB,2024,0.453182659,0.346673261,0.277063746,0.326474652
Ghana,GHA,2024,0.764097163,0.338227096,0.739451926,0.740922927
Ghana,GHA,2024,0.870072746,0.446068256,0.834527213,0.854679478
Guinea,GIN,2024,0.296340776,0.141411864,0.210039022,0.240452798
Guinea,GIN,2024,0.514517665,0.235369884,0.373929421,0.417636001
Honduras,HND,2024,0.372737884,0.352400868,0.085403352,0.166943973
Honduras,HND,2024,0.497313261,0.449593882,0.142011483,0.316133272
India,IND,2024,0.898835556,0.898835556,0.190762136,0.273652547
India,IND,2024,0.871506504,0.859748427,0.318842566,0.391456432
Indonesia,IDN,2024,0.560297534,0.523423367,0.202215571,0.361561381
Indonesia,IDN,2024,0.566660992,0.524481542,0.240455438,0.387462546
"Iran, Islamic Rep.",IRN,2024,0.907467788,0.907467788,0.124009272,0.85845953
"Iran, Islamic Rep.",IRN,2024,0.913888242,0.913888242,0.138375107,0.843576828
Iraq,IRQ,2024,0.26401928,0.243675554,0.070547258,0.148832617
Iraq,IRQ,2024,0.327835462,0.309860226,0.1522079,0.225355992
Jordan,JOR,2024,0.467753788,0.400570045,0.193215938,0.273011848
Jordan,JOR,2024,0.463169457,0.393652576,0.211121774,0.304242075
Kazakhstan,KAZ,2024,0.84710721,0.830343301,0.478497575,0.724036335
Kazakhstan,KAZ,2024,0.896065233,0.854695222,0.499601057,0.840830127
Kenya,KEN,2024,0.887419602,0.43823454,0.857077645,0.878266789
Kenya,KEN,2024,0.95072432,0.511941822,0.939387672,0.95072432
Kyrgyz Republic,KGZ,2024,0.712723711,0.692624302,0.283979131,0.567057588
Kyrgyz Republic,KGZ,2024,0.753761843,0.721425905,0.393092178,0.666181982
Lao PDR,LAO,2024,0.364158642,0.359758744,0.114132183,0.25786176
Lao PDR,LAO,2024,0.639923791,0.639923791,0.209129202501823,0.588185937
